username, created_at, lng, lat, text
jesselafarga, Fri Jan 29 18:59:15 +0000 2021, -112.124676, 33.552863, Friday’s should be cancelled https://t.co/KnNPC7jhxL 
justinemiaa, Fri Jan 29 18:59:16 +0000 2021, -118.156711, 33.809172, don’t act like I’m average 
Adrian_Vsqz, Fri Jan 29 18:59:16 +0000 2021, -95.446486, 29.838495, @FatKidDeals How do we get it to $29? It’s showing  $45.79. Thanks in advance. 
Riley51907206, Fri Jan 29 18:59:16 +0000 2021, -83.804475, 27.698682, https://t.co/0wgWHqz0uG 
SifantasticXXX, Fri Jan 29 18:59:16 +0000 2021, -73.968542, 40.780709, Reloaded my portfolio during the dip AMC NOK 
SniperxBae, Fri Jan 29 18:59:16 +0000 2021, -75.050086, 39.960243, Nivea or raw shea butter 🔥 
VofDoom, Fri Jan 29 18:59:16 +0000 2021, -87.732013, 41.833585, @RapCultureUK @jamila50242828 @Le_Brutus @EwansStuff You're THIS MAD about teeth?REALLY??Lemme guess, you also… https://t.co/tYCGTe1M5o 
ScottGerry9, Fri Jan 29 18:59:16 +0000 2021, -81.680759, 28.855843, @willybilly21111 @StevenACohen2 Ok just checking, good investment 
Chuck_Beber, Fri Jan 29 18:59:16 +0000 2021, -97.168476, 26.114736, FAA would not sign off on the launch so launch was scrubbed for today 
QuickCharisma, Fri Jan 29 18:59:16 +0000 2021, -117.022695, 38.502147, @DarboWeasley Good luck. Credit reporting agencies take FOREVER to update. You could be debt free and 2 months late… https://t.co/V9Zphbmy2V 
LAWKSTARGuitars, Fri Jan 29 18:59:16 +0000 2021, -122.630908, 45.536402, @MichelobULTRA 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 
osmar67, Fri Jan 29 18:59:16 +0000 2021, -80.346514, 25.897011, #helmet #helmets #helmetspaint #helmetpainting #helmetart #helmetdesign #helmetdesigner #helmetdesigns #racing… https://t.co/ZXwagRan86 
imagine8music, Fri Jan 29 18:59:16 +0000 2021, -73.961881, 41.496237, @_aimeepacheco Awesome! 
JoydeJoe, Fri Jan 29 18:59:16 +0000 2021, -76.355918, 36.841764, who squirting on n*ggas? link me... 
KevinDr_ver, Fri Jan 29 18:59:16 +0000 2021, -81.633705, 38.347486, @DayleLearnsLife Mr Phil &gt; Dr Phil 
Matthew01818594, Fri Jan 29 18:59:16 +0000 2021, -97.343915, 37.683897, @BunchRaskins @GKuhlenschmidt https://t.co/Brd4mxOV0U 
_krampu5, Fri Jan 29 18:59:17 +0000 2021, -77.493170, 37.529883, @Alan_sbg Coinbase took it off it’s done until it goes back on there 
chtucker18, Fri Jan 29 18:59:17 +0000 2021, -76.842560, 39.094546, I'm at Intersection Md Rt 198 At 197 in Laurel, MD https://t.co/8u78PGJAzh 
shutterpandaxo, Fri Jan 29 18:59:17 +0000 2021, -86.519507, 36.574973, Yes girl! 😍😍 
